target,source,value,tipo,regiao,count,uf,funcao
take pictures and videos,Dados do Bem,1,app,Dados do Bem,1,Dados do Bem,take pictures and videos
take pictures and videos,e-Saúde SP,1,app,e-Saúde SP,1,e-Saúde SP,take pictures and videos
take pictures and videos,KeyApp,1,app,KeyApp,1,KeyApp,take pictures and videos
take pictures and videos,Minha Saúde,1,app,Minha Saúde,1,Minha Saúde,take pictures and videos
take pictures and videos,Monitora Covid-19,1,app,Monitora Covid-19,1,Monitora Covid-19,take pictures and videos
take pictures and videos,SASI,1,app,SASI,1,SASI,take pictures and videos
take pictures and videos,Saúde Digital MG - Covid-19,1,app,Saúde Digital MG - Covid-19,1,Saúde Digital MG - Covid-19,take pictures and videos
take pictures and videos,Saúde Online PR,1,app,Saúde Online PR,1,Saúde Online PR,take pictures and videos
take pictures and videos,Saúde Santo André,1,app,Saúde Santo André,1,Saúde Santo André,take pictures and videos
take pictures and videos,Simot,1,app,Simot,1,Simot,take pictures and videos
precise location (GPS and network-based),Alô Saúde Floripa,1,app,Alô Saúde Floripa,1,Alô Saúde Floripa,precise location (GPS and network-based)
precise location (GPS and network-based),Telemedicina Paraná,1,app,Telemedicina Paraná,1,Telemedicina Paraná,precise location (GPS and network-based)
record audio,Alô Saúde Floripa,1,app,Alô Saúde Floripa,1,Alô Saúde Floripa,record audio
record audio,e-Saúde SP,1,app,e-Saúde SP,1,e-Saúde SP,record audio
record audio,Monitora Covid-19,1,app,Monitora Covid-19,1,Monitora Covid-19,record audio
record audio,SASI,1,app,SASI,1,SASI,record audio
record audio,Saúde Digital MG - Covid-19,1,app,Saúde Digital MG - Covid-19,1,Saúde Digital MG - Covid-19,record audio
record audio,Saúde Online PR,1,app,Saúde Online PR,1,Saúde Online PR,record audio
record audio,Saúde Santo André,1,app,Saúde Santo André,1,Saúde Santo André,record audio
record audio,Simot,1,app,Simot,1,Simot,record audio
prevent device from sleeping,Alô Saúde Floripa,1,app,Alô Saúde Floripa,1,Alô Saúde Floripa,prevent device from sleeping
prevent device from sleeping,Atende em Casa,1,app,Atende em Casa,1,Atende em Casa,prevent device from sleeping
prevent device from sleeping,Ceará App,1,app,Ceará App,1,Ceará App,prevent device from sleeping
prevent device from sleeping,Colab,1,app,Colab,1,Colab,prevent device from sleeping
prevent device from sleeping,Coronavírus - SUS,1,app,Coronavírus - SUS,1,Coronavírus - SUS,prevent device from sleeping
prevent device from sleeping,Covid Monitor,1,app,Covid Monitor,1,Covid Monitor,prevent device from sleeping
prevent device from sleeping,CovidPR,1,app,CovidPR,1,CovidPR,prevent device from sleeping
prevent device from sleeping,Dados do Bem,1,app,Dados do Bem,1,Dados do Bem,prevent device from sleeping
prevent device from sleeping,Distanciamento Controlado RS,1,app,Distanciamento Controlado RS,1,Distanciamento Controlado RS,prevent device from sleeping
prevent device from sleeping,Dycovid - Dynamic Contact Tracing,1,app,Dycovid - Dynamic Contact Tracing,1,Dycovid - Dynamic Contact Tracing,prevent device from sleeping
prevent device from sleeping,e-Saúde SP,1,app,e-Saúde SP,1,e-Saúde SP,prevent device from sleeping
prevent device from sleeping,ISUS,1,app,ISUS,1,ISUS,prevent device from sleeping
prevent device from sleeping,KeyApp,1,app,KeyApp,1,KeyApp,prevent device from sleeping
prevent device from sleeping,Mais Saúde Cidadão,1,app,Mais Saúde Cidadão,1,Mais Saúde Cidadão,prevent device from sleeping
prevent device from sleeping,Meu Info Sáude,1,app,Meu Info Sáude,1,Meu Info Sáude,prevent device from sleeping
prevent device from sleeping,Minha Saúde,1,app,Minha Saúde,1,Minha Saúde,prevent device from sleeping
prevent device from sleeping,Monitora Covid-19,1,app,Monitora Covid-19,1,Monitora Covid-19,prevent device from sleeping
prevent device from sleeping,Pronto Mobile,1,app,Pronto Mobile,1,Pronto Mobile,prevent device from sleeping
prevent device from sleeping,Santa Isabel Contra o Coronavírus,1,app,Santa Isabel Contra o Coronavírus,1,Santa Isabel Contra o Coronavírus,prevent device from sleeping
prevent device from sleeping,SASI,1,app,SASI,1,SASI,prevent device from sleeping
prevent device from sleeping,Saúde Aparecida,1,app,Saúde Aparecida,1,Saúde Aparecida,prevent device from sleeping
prevent device from sleeping,Saúde Digital MG - Covid-19,1,app,Saúde Digital MG - Covid-19,1,Saúde Digital MG - Covid-19,prevent device from sleeping
prevent device from sleeping,Saúde Online PR,1,app,Saúde Online PR,1,Saúde Online PR,prevent device from sleeping
prevent device from sleeping,Saúde Santo André,1,app,Saúde Santo André,1,Saúde Santo André,prevent device from sleeping
prevent device from sleeping,Simot,1,app,Simot,1,Simot,prevent device from sleeping
prevent device from sleeping,Telemedicina Paraná,1,app,Telemedicina Paraná,1,Telemedicina Paraná,prevent device from sleeping
read the contents of your USB storage,Alô Saúde Floripa,1,app,Alô Saúde Floripa,1,Alô Saúde Floripa,read the contents of your USB storage
read the contents of your USB storage,Atende em Casa,1,app,Atende em Casa,1,Atende em Casa,read the contents of your USB storage
read the contents of your USB storage,Ceará App,1,app,Ceará App,1,Ceará App,read the contents of your USB storage
read the contents of your USB storage,Colab,1,app,Colab,1,Colab,read the contents of your USB storage
read the contents of your USB storage,Distanciamento Controlado RS,1,app,Distanciamento Controlado RS,1,Distanciamento Controlado RS,read the contents of your USB storage
read the contents of your USB storage,e-Saúde SP,1,app,e-Saúde SP,1,e-Saúde SP,read the contents of your USB storage
read the contents of your USB storage,ISUS,1,app,ISUS,1,ISUS,read the contents of your USB storage
